Data,UF,day_of_week,Qtde Autorizados,Valor Autorizados,populacao,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Qtde Autorizados_2019_mean,Valor Autorizados_2019_mean
2020-04-10,PI,4,63248,5379897.11,3273227,40,2,7,1,480958.9479452055,41289248.797232874
2020-04-11,PI,5,351754,25912269.0,3273227,41,1,7,0,480958.9479452055,41289248.797232874
2020-04-12,PI,6,178928,12200738.34,3273227,44,3,7,0,480958.9479452055,41289248.797232874
2020-04-13,PI,0,358684,29538979.9,3273227,50,6,8,1,480958.9479452055,41289248.797232874
2020-04-14,PI,1,337256,28999726.46,3273227,58,8,8,0,480958.9479452055,41289248.797232874
2020-04-15,PI,2,353161,31504120.17,3273227,75,17,8,0,480958.9479452055,41289248.797232874
2020-04-16,PI,3,350348,31491983.02,3273227,91,16,8,0,480958.9479452055,41289248.797232874
2020-04-17,PI,4,342899,30245575.4,3273227,102,11,8,0,480958.9479452055,41289248.797232874
2020-04-18,PI,5,364453,31341598.94,3273227,123,21,9,1,480958.9479452055,41289248.797232874
2020-04-19,PI,6,186444,13770055.06,3273227,145,22,10,1,480958.9479452055,41289248.797232874
2020-04-20,PI,0,373269,31933264.96,3273227,158,13,12,2,480958.9479452055,41289248.797232874
2020-04-21,PI,1,206108,17587339.69,3273227,186,28,14,2,480958.9479452055,41289248.797232874
2020-04-22,PI,2,389731,35251132.13,3273227,206,20,15,1,480958.9479452055,41289248.797232874
2020-04-23,PI,3,346202,32473191.15,3273227,217,11,15,0,480958.9479452055,41289248.797232874
2020-04-24,PI,4,380058,35349090.14,3273227,256,39,16,1,480958.9479452055,41289248.797232874
2020-04-25,PI,5,361608,31791845.65,3273227,297,41,17,1,480958.9479452055,41289248.797232874
2020-04-26,PI,6,181620,14236585.16,3273227,331,34,18,1,480958.9479452055,41289248.797232874
2020-04-27,PI,0,360216,32706186.98,3273227,364,33,20,2,480958.9479452055,41289248.797232874
2020-04-28,PI,1,376875,36441598.97,3273227,408,44,21,1,480958.9479452055,41289248.797232874
2020-04-29,PI,2,387309,40810177.61,3273227,454,46,24,3,480958.9479452055,41289248.797232874
2020-04-30,PI,3,451030,52279512.68,3273227,513,59,24,0,480958.9479452055,41289248.797232874
2020-05-01,PI,4,175829,14089150.15,3273227,600,87,24,0,480958.9479452055,41289248.797232874
2020-05-02,PI,5,418254,41989744.27,3273227,665,65,26,2,480958.9479452055,41289248.797232874
2020-05-03,PI,6,189695,16293689.15,3273227,742,77,28,2,480958.9479452055,41289248.797232874
2020-05-04,PI,0,398201,38304940.68,3273227,784,42,28,0,480958.9479452055,41289248.797232874
2020-05-05,PI,1,378922,37881562.46,3273227,875,91,29,1,480958.9479452055,41289248.797232874
2020-05-06,PI,2,393088,40642512.7,3273227,949,74,30,1,480958.9479452055,41289248.797232874
2020-05-07,PI,3,405249,40895897.03,3273227,1051,102,35,5,480958.9479452055,41289248.797232874
2020-05-08,PI,4,415955,42713461.35,3273227,1131,80,37,2,480958.9479452055,41289248.797232874
2020-05-09,PI,5,420092,40337211.22,3273227,1233,102,38,1,480958.9479452055,41289248.797232874
2020-05-10,PI,6,208463,15558303.84,3273227,1278,45,42,4,480958.9479452055,41289248.797232874
2020-05-11,PI,0,355617,32883711.72,3273227,1332,54,45,3,480958.9479452055,41289248.797232874
2020-05-12,PI,1,349551,32506704.02,3273227,1443,111,49,4,480958.9479452055,41289248.797232874
2020-05-13,PI,2,365483,35096827.14,3273227,1612,169,57,8,480958.9479452055,41289248.797232874
2020-05-14,PI,3,391698,38790655.27,3273227,1784,172,60,3,480958.9479452055,41289248.797232874
2020-05-15,PI,4,256106,22420858.01,3273227,1905,121,60,0,480958.9479452055,41289248.797232874
2020-05-16,PI,5,354066,28903482.61,3273227,2085,180,65,5,480958.9479452055,41289248.797232874
2020-05-17,PI,6,53982,4627322.05,3273227,2252,167,72,7,480958.9479452055,41289248.797232874
2020-05-18,PI,0,387226,35354730.47,3273227,2287,35,80,8,480958.9479452055,41289248.797232874
2020-05-19,PI,1,347025,34075074.99,3273227,2440,153,85,5,480958.9479452055,41289248.797232874
2020-05-20,PI,2,370581,35654671.89,3273227,2637,197,87,2,480958.9479452055,41289248.797232874
2020-05-21,PI,3,369190,36286366.17,3273227,2852,215,91,4,480958.9479452055,41289248.797232874
2020-05-22,PI,4,344338,35992458.81,3273227,3074,222,93,2,480958.9479452055,41289248.797232874
2020-05-23,PI,5,387757,34522608.05,3273227,3258,184,99,6,480958.9479452055,41289248.797232874
2020-05-24,PI,6,78290,6506103.91,3273227,3390,132,107,8,480958.9479452055,41289248.797232874
2020-05-25,PI,0,405962,39124346.09,3273227,3550,160,110,3,480958.9479452055,41289248.797232874
2020-05-26,PI,1,371369,37466469.0,3273227,3720,170,119,9,480958.9479452055,41289248.797232874
2020-05-27,PI,2,395095,39978871.93,3273227,3966,246,134,15,480958.9479452055,41289248.797232874
2020-05-28,PI,3,388700,41308017.99,3273227,4243,277,138,4,480958.9479452055,41289248.797232874
2020-05-29,PI,4,383090,39999983.54,3273227,4503,260,146,8,480958.9479452055,41289248.797232874
2020-05-30,PI,5,436006,44814048.15,3273227,4745,242,157,11,480958.9479452055,41289248.797232874
2020-05-31,PI,6,80207,8781507.95,3273227,4931,186,161,4,480958.9479452055,41289248.797232874
2020-06-01,PI,0,439644,43969959.88,3273227,5119,188,168,7,480958.9479452055,41289248.797232874
2020-06-02,PI,1,391925,40763902.96,3273227,5506,387,180,12,480958.9479452055,41289248.797232874
2020-06-03,PI,2,413700,43352339.6,3273227,5828,322,192,12,480958.9479452055,41289248.797232874
2020-06-04,PI,3,381435,39737878.47,3273227,6064,236,202,10,480958.9479452055,41289248.797232874
2020-06-05,PI,4,410420,42202455.67,3273227,6717,653,217,15,480958.9479452055,41289248.797232874
2020-06-06,PI,5,413121,40188756.97,3273227,7105,388,224,7,480958.9479452055,41289248.797232874
2020-06-07,PI,6,165624,13355393.87,3273227,7478,373,239,15,480958.9479452055,41289248.797232874
2020-06-08,PI,0,431492,41628012.98,3273227,7621,143,254,15,480958.9479452055,41289248.797232874
2020-06-09,PI,1,403423,39556516.73,3273227,7927,306,265,11,480958.9479452055,41289248.797232874
2020-06-10,PI,2,425853,43930335.22,3273227,8359,432,283,18,480958.9479452055,41289248.797232874
2020-06-11,PI,3,322136,31624907.05,3273227,8823,464,299,16,480958.9479452055,41289248.797232874
2020-06-12,PI,4,459767,44647180.85,3273227,9337,514,317,18,480958.9479452055,41289248.797232874
2020-06-13,PI,5,401702,35940475.89,3273227,9825,488,335,18,480958.9479452055,41289248.797232874
2020-06-14,PI,6,77866,7099270.94,3273227,10153,328,360,25,480958.9479452055,41289248.797232874
2020-06-15,PI,0,425249,40737784.12,3273227,10357,204,374,14,480958.9479452055,41289248.797232874
2020-06-16,PI,1,377342,37930889.53,3273227,10881,524,393,19,480958.9479452055,41289248.797232874
2020-06-17,PI,2,406820,41618658.87,3273227,11559,678,398,5,480958.9479452055,41289248.797232874
2020-06-18,PI,3,393114,40750700.86,3273227,12099,540,421,23,480958.9479452055,41289248.797232874
2020-06-19,PI,4,314623,30901743.21,3273227,12567,468,435,14,480958.9479452055,41289248.797232874
2020-06-20,PI,5,504733,48467280.29,3273227,13813,1246,459,24,480958.9479452055,41289248.797232874
2020-06-21,PI,6,90152,7764382.01,3273227,14264,451,485,26,480958.9479452055,41289248.797232874
2020-06-22,PI,0,427075,41684191.11,3273227,14476,212,502,17,480958.9479452055,41289248.797232874
2020-06-23,PI,1,392229,39012198.01,3273227,15269,793,517,15,480958.9479452055,41289248.797232874
2020-02-25,ES,1,816411,43173804.08,4018650,0,0,0,0,1522913.0630136987,103535979.74898636
2020-02-26,ES,2,1603195,103515582.05,4018650,0,0,0,0,1522913.0630136987,103535979.74898636
2020-02-27,ES,3,1641132,111264962.41,4018650,0,0,0,0,1522913.0630136987,103535979.74898636
2020-02-28,ES,4,1738009,133679846.94,4018650,0,0,0,0,1522913.0630136987,103535979.74898636
2020-02-29,ES,5,1874805,147964473.35,4018650,0,0,0,0,1522913.0630136987,103535979.74898636
2020-03-01,ES,6,779350,48105239.44,4018650,0,0,0,0,1522913.0630136987,103535979.74898636
2020-03-02,ES,0,1649980,108013534.07,4018650,0,0,0,0,1522913.0630136987,103535979.74898636
2020-03-03,ES,1,1654370,110005917.72,4018650,0,0,0,0,1522913.0630136987,103535979.74898636
2020-03-04,ES,2,1633250,108993450.64,4018650,0,0,0,0,1522913.0630136987,103535979.74898636
2020-03-05,ES,3,1644838,110711375.4,4018650,0,0,0,0,1522913.0630136987,103535979.74898636
2020-03-06,ES,4,1890380,132858674.62,4018650,1,1,0,0,1522913.0630136987,103535979.74898636
2020-03-07,ES,5,1922197,144201711.72,4018650,1,0,0,0,1522913.0630136987,103535979.74898636
2020-03-08,ES,6,766908,46849037.68,4018650,1,0,0,0,1522913.0630136987,103535979.74898636
2020-03-09,ES,0,1724920,110671768.14,4018650,1,0,0,0,1522913.0630136987,103535979.74898636
2020-03-10,ES,1,1626864,105484536.85,4018650,1,0,0,0,1522913.0630136987,103535979.74898636
2020-03-11,ES,2,1704478,110124040.09,4018650,1,0,0,0,1522913.0630136987,103535979.74898636
2020-03-12,ES,3,1610333,106286980.11,4018650,1,0,0,0,1522913.0630136987,103535979.74898636
2020-03-13,ES,4,1786351,122399348.01,4018650,1,0,0,0,1522913.0630136987,103535979.74898636
2020-03-14,ES,5,1791580,127090085.19,4018650,1,0,0,0,1522913.0630136987,103535979.74898636
2020-03-15,ES,6,761933,45294488.06,4018650,1,0,0,0,1522913.0630136987,103535979.74898636
2020-03-16,ES,0,1708496,116190867.44,4018650,1,0,0,0,1522913.0630136987,103535979.74898636
2020-03-17,ES,1,1692917,124361443.2,4018650,1,0,0,0,1522913.0630136987,103535979.74898636
2020-03-18,ES,2,1617591,115578873.44,4018650,9,8,0,0,1522913.0630136987,103535979.74898636
2020-03-19,ES,3,1540365,118365616.31,4018650,11,2,0,0,1522913.0630136987,103535979.74898636
2020-03-20,ES,4,1634890,134297973.66,4018650,13,2,0,0,1522913.0630136987,103535979.74898636
2020-03-21,ES,5,1384324,107691686.78,4018650,26,13,0,0,1522913.0630136987,103535979.74898636
2020-03-22,ES,6,417534,24504345.55,4018650,26,0,0,0,1522913.0630136987,103535979.74898636
2020-03-23,ES,0,1120210,76378714.95,4018650,29,3,0,0,1522913.0630136987,103535979.74898636
2020-03-24,ES,1,1023984,66107664.39,4018650,33,4,0,0,1522913.0630136987,103535979.74898636
2020-03-25,ES,2,1028506,66739244.19,4018650,39,6,0,0,1522913.0630136987,103535979.74898636
2020-03-26,ES,3,1018412,67188402.36,4018650,39,0,0,0,1522913.0630136987,103535979.74898636
2020-03-27,ES,4,1187015,79565996.66,4018650,47,8,0,0,1522913.0630136987,103535979.74898636
2020-03-28,ES,5,1227635,78643695.89,4018650,53,6,0,0,1522913.0630136987,103535979.74898636
2020-03-29,ES,6,440858,22654986.11,4018650,60,7,0,0,1522913.0630136987,103535979.74898636
2020-03-30,ES,0,1126289,77979861.33,4018650,72,12,0,0,1522913.0630136987,103535979.74898636
2020-03-31,ES,1,1217625,93101062.46,4018650,84,12,0,0,1522913.0630136987,103535979.74898636
2020-04-01,ES,2,1206852,86125844.45,4018650,96,12,0,0,1522913.0630136987,103535979.74898636
2020-04-02,ES,3,1200639,86543294.91,4018650,120,24,1,1,1522913.0630136987,103535979.74898636
2020-04-03,ES,4,1286131,94566369.7,4018650,139,19,4,3,1522913.0630136987,103535979.74898636
2020-04-04,ES,5,1371492,97235000.56,4018650,153,14,5,1,1522913.0630136987,103535979.74898636
2020-04-05,ES,6,481851,26738923.37,4018650,166,13,6,1,1522913.0630136987,103535979.74898636
2020-04-06,ES,0,1270207,90746975.57,4018650,194,28,6,0,1522913.0630136987,103535979.74898636
2020-04-07,ES,1,1333488,97157938.44,4018650,209,15,6,0,1522913.0630136987,103535979.74898636
2020-04-08,ES,2,1391003,103119174.34,4018650,227,18,6,0,1522913.0630136987,103535979.74898636
2020-04-09,ES,3,1527194,111553465.71,4018650,273,46,6,0,1522913.0630136987,103535979.74898636
2020-04-10,ES,4,699585,39820072.15,4018650,300,27,7,1,1522913.0630136987,103535979.74898636
2020-04-11,ES,5,1492350,96827374.49,4018650,349,49,9,2,1522913.0630136987,103535979.74898636
2020-04-12,ES,6,464358,23130859.2,4018650,383,34,9,0,1522913.0630136987,103535979.74898636
2020-04-13,ES,0,1210136,79011074.46,4018650,430,47,14,5,1522913.0630136987,103535979.74898636
2020-04-14,ES,1,1224669,79039304.18,4018650,463,33,17,3,1522913.0630136987,103535979.74898636
2020-04-15,ES,2,1229159,83986132.36,4018650,557,94,18,1,1522913.0630136987,103535979.74898636
2020-04-16,ES,3,1211955,84678091.67,4018650,754,197,22,4,1522913.0630136987,103535979.74898636
2020-04-17,ES,4,1372742,99756214.22,4018650,856,102,25,3,1522913.0630136987,103535979.74898636
2020-04-18,ES,5,1434703,100841945.26,4018650,952,96,28,3,1522913.0630136987,103535979.74898636
2020-04-19,ES,6,493941,26979330.96,4018650,1099,147,30,2,1522913.0630136987,103535979.74898636
2020-04-20,ES,0,860996,56248643.61,4018650,1168,69,33,3,1522913.0630136987,103535979.74898636
2020-04-21,ES,1,725631,42170551.98,4018650,1212,44,34,1,1522913.0630136987,103535979.74898636
2020-04-22,ES,2,1422238,102899469.72,4018650,1313,101,34,0,1522913.0630136987,103535979.74898636
2020-04-23,ES,3,1287045,94572527.98,4018650,1363,50,42,8,1522913.0630136987,103535979.74898636
2020-04-24,ES,4,1397808,104392290.25,4018650,1381,18,42,0,1522913.0630136987,103535979.74898636
2020-04-25,ES,5,1411492,99774322.78,4018650,1595,214,47,5,1522913.0630136987,103535979.74898636
2020-04-26,ES,6,488255,25952308.98,4018650,1703,108,51,4,1522913.0630136987,103535979.74898636
2020-04-27,ES,0,1248283,90651543.75,4018650,1796,93,57,6,1522913.0630136987,103535979.74898636
2020-04-28,ES,1,1265587,93763753.78,4018650,1874,78,64,7,1522913.0630136987,103535979.74898636
2020-04-29,ES,2,1321828,101707644.69,4018650,2107,233,76,12,1522913.0630136987,103535979.74898636
2020-04-30,ES,3,1621444,148012893.9,4018650,2465,358,83,7,1522913.0630136987,103535979.74898636
2020-05-01,ES,4,463586,25277810.49,4018650,2662,197,96,13,1522913.0630136987,103535979.74898636
2020-05-02,ES,5,1590192,134205934.59,4018650,2948,286,102,6,1522913.0630136987,103535979.74898636
2020-05-03,ES,6,488746,28311099.93,4018650,3086,138,114,12,1522913.0630136987,103535979.74898636
2020-05-04,ES,0,1365507,104629028.23,4018650,3226,140,122,8,1522913.0630136987,103535979.74898636
2020-05-05,ES,1,1354558,105574406.61,4018650,3402,176,133,11,1522913.0630136987,103535979.74898636
2020-05-06,ES,2,1403156,111950976.92,4018650,3568,166,145,12,1522913.0630136987,103535979.74898636
2020-05-07,ES,3,1358263,112140880.09,4018650,3838,270,155,10,1522913.0630136987,103535979.74898636
2020-05-08,ES,4,1581551,133392482.42,4018650,4242,404,165,10,1522913.0630136987,103535979.74898636
2020-05-09,ES,5,1645949,134723426.92,4018650,4412,170,172,7,1522913.0630136987,103535979.74898636
2020-05-10,ES,6,530806,29701498.17,4018650,4599,187,181,9,1522913.0630136987,103535979.74898636
2020-05-11,ES,0,1264535,91254480.4,4018650,4819,220,196,15,1522913.0630136987,103535979.74898636
2020-05-12,ES,1,1263553,92452944.35,4018650,5087,268,212,16,1522913.0630136987,103535979.74898636
2020-05-13,ES,2,1265341,94280590.13,4018650,5401,314,233,21,1522913.0630136987,103535979.74898636
2020-05-14,ES,3,1238578,92291557.44,4018650,5813,412,249,16,1522913.0630136987,103535979.74898636
2020-05-15,ES,4,1378980,105737667.75,4018650,6198,385,260,11,1522913.0630136987,103535979.74898636
2020-05-16,ES,5,1327117,98166554.56,4018650,6595,397,271,11,1522913.0630136987,103535979.74898636
2020-05-17,ES,6,479934,25810749.0,4018650,6744,149,285,14,1522913.0630136987,103535979.74898636
2020-05-18,ES,0,1253382,89883327.83,4018650,7157,413,302,17,1522913.0630136987,103535979.74898636
2020-05-19,ES,1,1217350,90000755.25,4018650,7693,536,325,23,1522913.0630136987,103535979.74898636
2020-05-20,ES,2,1288268,94728068.54,4018650,8092,399,341,16,1522913.0630136987,103535979.74898636
2020-05-21,ES,3,1272691,94490173.44,4018650,8878,786,363,22,1522913.0630136987,103535979.74898636
2020-05-22,ES,4,1414883,107452537.39,4018650,9520,642,397,34,1522913.0630136987,103535979.74898636
2020-05-23,ES,5,1395772,99143084.38,4018650,9918,398,417,20,1522913.0630136987,103535979.74898636
2020-05-24,ES,6,488799,26479682.49,4018650,10007,89,446,29,1522913.0630136987,103535979.74898636
2020-05-25,ES,0,1207050,90265418.01,4018650,10365,358,465,19,1522913.0630136987,103535979.74898636
2020-05-26,ES,1,1278765,94403361.56,4018650,10889,524,487,22,1522913.0630136987,103535979.74898636
2020-05-27,ES,2,1317020,101167441.12,4018650,11484,595,511,24,1522913.0630136987,103535979.74898636
2020-05-28,ES,3,1343447,106799518.86,4018650,12203,719,538,27,1522913.0630136987,103535979.74898636
2020-05-29,ES,4,1509286,132485687.82,4018650,12903,700,560,22,1522913.0630136987,103535979.74898636
2020-05-30,ES,5,1571029,130579592.05,4018650,13437,534,583,23,1522913.0630136987,103535979.74898636
2020-05-31,ES,6,509342,32746326.29,4018650,13690,253,604,21,1522913.0630136987,103535979.74898636
2020-06-01,ES,0,1376561,107349405.22,4018650,14069,379,614,10,1522913.0630136987,103535979.74898636
2020-06-02,ES,1,1363772,105462033.5,4018650,15151,1082,664,50,1522913.0630136987,103535979.74898636
2020-06-03,ES,2,1389810,108755448.72,4018650,16121,970,698,34,1522913.0630136987,103535979.74898636
2020-06-04,ES,3,1379839,109443301.22,4018650,16894,773,737,39,1522913.0630136987,103535979.74898636
2020-06-05,ES,4,1610955,133700186.09,4018650,18109,1215,780,43,1522913.0630136987,103535979.74898636
2020-06-06,ES,5,1480708,114919106.51,4018650,18950,841,806,26,1522913.0630136987,103535979.74898636
2020-06-07,ES,6,482137,27281217.15,4018650,19619,669,832,26,1522913.0630136987,103535979.74898636
2020-06-08,ES,0,1415816,109586938.23,4018650,20659,1040,871,39,1522913.0630136987,103535979.74898636
2020-06-09,ES,1,1420165,110156228.94,4018650,21964,1305,904,33,1522913.0630136987,103535979.74898636
2020-06-10,ES,2,1590675,126990193.94,4018650,23344,1380,936,32,1522913.0630136987,103535979.74898636
2020-06-11,ES,3,872186,61418053.95,4018650,24229,885,962,26,1522913.0630136987,103535979.74898636
2020-06-12,ES,4,1732373,139460735.45,4018650,25257,1028,986,24,1522913.0630136987,103535979.74898636
2020-06-13,ES,5,1346979,93481546.69,4018650,25932,675,1022,36,1522913.0630136987,103535979.74898636
2020-06-14,ES,6,481717,26127660.63,4018650,26441,509,1054,32,1522913.0630136987,103535979.74898636
2020-06-15,ES,0,1280418,99910001.88,4018650,27581,1140,1086,32,1522913.0630136987,103535979.74898636
2020-06-16,ES,1,1278684,95806711.53,4018650,28952,1371,1131,45,1522913.0630136987,103535979.74898636
2020-06-17,ES,2,1342941,101063214.8,4018650,30441,1489,1169,38,1522913.0630136987,103535979.74898636
2020-06-18,ES,3,1349737,102215506.88,4018650,31671,1230,1217,48,1522913.0630136987,103535979.74898636
2020-06-19,ES,4,1009685,77806399.08,4018650,33142,1471,1265,48,1522913.0630136987,103535979.74898636
2020-06-20,ES,5,1692094,121730609.46,4018650,34216,1074,1297,32,1522913.0630136987,103535979.74898636
2020-06-21,ES,6,497757,27762437.03,4018650,34858,642,1326,29,1522913.0630136987,103535979.74898636
2020-06-22,ES,0,1370293,103043381.19,4018650,35784,926,1362,36,1522913.0630136987,103535979.74898636
2020-06-23,ES,1,1337332,100012776.05,4018650,36827,1043,1425,63,1522913.0630136987,103535979.74898636
2020-02-25,RJ,1,4116951,205572029.23,17264943,0,0,0,0,7509616.147945206,450805491.7122742
2020-02-26,RJ,2,6867765,396011949.3,17264943,0,0,0,0,7509616.147945206,450805491.7122742
2020-02-27,RJ,3,7905313,482568331.05,17264943,0,0,0,0,7509616.147945206,450805491.7122742
2020-02-28,RJ,4,8420704,547313268.52,17264943,0,0,0,0,7509616.147945206,450805491.7122742
2020-02-29,RJ,5,8258469,589004353.8,17264943,0,0,0,0,7509616.147945206,450805491.7122742
2020-03-01,RJ,6,4405905,265413873.69,17264943,0,0,0,0,7509616.147945206,450805491.7122742
2020-03-02,RJ,0,7837914,449006761.64,17264943,0,0,0,0,7509616.147945206,450805491.7122742
2020-03-03,RJ,1,8178162,477746152.33,17264943,0,0,0,0,7509616.147945206,450805491.7122742
2020-03-04,RJ,2,8546024,485563907.89,17264943,0,0,0,0,7509616.147945206,450805491.7122742
2020-03-05,RJ,3,8509765,496581450.54,17264943,1,1,0,0,7509616.147945206,450805491.7122742
2020-03-06,RJ,4,9255256,559930812.25,17264943,1,0,0,0,7509616.147945206,450805491.7122742
2020-03-07,RJ,5,9082705,616139113.11,17264943,2,1,0,0,7509616.147945206,450805491.7122742
2020-03-08,RJ,6,5160207,315292420.89,17264943,3,1,0,0,7509616.147945206,450805491.7122742
2020-03-09,RJ,0,8357347,463219659.31,17264943,3,0,0,0,7509616.147945206,450805491.7122742
2020-03-10,RJ,1,8061293,461773066.54,17264943,8,5,0,0,7509616.147945206,450805491.7122742
2020-03-11,RJ,2,8435392,478216532.07,17264943,13,5,0,0,7509616.147945206,450805491.7122742
2020-03-12,RJ,3,8135615,477987566.34,17264943,16,3,0,0,7509616.147945206,450805491.7122742
2020-03-13,RJ,4,8938841,563909048.61,17264943,16,0,0,0,7509616.147945206,450805491.7122742
2020-03-14,RJ,5,8046762,577150763.62,17264943,22,6,0,0,7509616.147945206,450805491.7122742
2020-03-15,RJ,6,4838356,297970477.56,17264943,24,2,0,0,7509616.147945206,450805491.7122742
2020-03-16,RJ,0,7861964,495557515.47,17264943,31,7,0,0,7509616.147945206,450805491.7122742
2020-03-17,RJ,1,7562876,505535795.28,17264943,33,2,0,0,7509616.147945206,450805491.7122742
2020-03-18,RJ,2,7150839,467239978.87,17264943,45,12,0,0,7509616.147945206,450805491.7122742
2020-03-19,RJ,3,6464035,427141571.72,17264943,65,20,2,2,7509616.147945206,450805491.7122742
2020-03-20,RJ,4,6487514,443268858.65,17264943,109,44,2,0,7509616.147945206,450805491.7122742
2020-03-21,RJ,5,5428755,391815083.5,17264943,119,10,3,1,7509616.147945206,450805491.7122742
2020-03-22,RJ,6,3140922,187848867.14,17264943,186,67,3,0,7509616.147945206,450805491.7122742
2020-03-23,RJ,0,5153461,341089866.31,17264943,233,47,4,1,7509616.147945206,450805491.7122742
2020-03-24,RJ,1,4548285,272215593.31,17264943,305,72,6,2,7509616.147945206,450805491.7122742
2020-03-25,RJ,2,4587840,280720183.96,17264943,370,65,6,0,7509616.147945206,450805491.7122742
2020-03-26,RJ,3,4609222,277638827.75,17264943,421,51,9,3,7509616.147945206,450805491.7122742
2020-03-27,RJ,4,5039399,319038205.22,17264943,493,72,10,1,7509616.147945206,450805491.7122742
2020-03-28,RJ,5,4921844,315207462.06,17264943,558,65,13,3,7509616.147945206,450805491.7122742
